_ID_;_MODEL_;_OPTIONS_
218;"Alles Mama Fruit k";"select|Размер|42|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|40|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|36|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|38|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
238;"Alles Mama Shake Milk k";"select|Размер|42|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|44|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|40|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|36|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|38|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
552;"Ava 852/А k";"image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
649;"Corin Eva 53851 k";"image|Цвет|Темно-красный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/temno-krasnyj.jpg
select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
667;"Corin Karen 62845 x";select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
668;"Corin Karen 64845 k";"select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
669;"Corin Karen 66845 komp";select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
692;"Corin Lazurite 62992 x";"select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
693;"Corin Lazurite 64992 k";"select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
694;"Corin Lazurite 66992 komp";"select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
704;"Corin Melissa 53847 grey k";"select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
705;"Corin Melissa 62847 grey x";select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
706;"Corin Melissa 66847 grey komp";"select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
731;"DN 3046 TCB sky k";"image|Цвет|Голубой 3|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/blue3.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
746;"DN 6095 SSK x";"image|Цвет|Бежевый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/beige.jpg
select|Размер|S|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
