_ID_;_OPTIONS_
51;"image|Цвет|Горький шоколад|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/gorkij_shokolad.jpg
image|Цвет|Темно-серый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/temnoseriy1.jpg
select|Размер|8|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|7|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|6|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|5|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
52;
53;"image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|1/2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
54;"image|Цвет|Белый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|3/4|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|1/2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
55;"image|Цвет|Телесный натуральный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/telesnyj_naturalnyj.jpg
image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Натуральный светлый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/naturalnyj_svetlyj.jpg
select|Размер|8|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|7|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|6|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|5|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
56;image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
57;"image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Lyon|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/lyon_marilyn.jpg
select|Размер|UN (универсальный)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
58;"image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|6|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|5|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
59;"image|Цвет|Белый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|4|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|3|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
60;"image|Цвет|Черный|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Lyon|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/lyon_marilyn.jpg
select|Размер|3/4|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|1/2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
61;"image|Цвет|Белый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|3/4|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|1/2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
62;"image|Цвет|Белый|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Экри|1|1|1|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg
select|Размер|1/2|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
