_ID_;_NAME_;_STATUS_;_OPTIONS_
11088;"Бюстгальтер пуш-ап ""анжелика"" с кружевом Kinga 2408 Oksanai";1;"select|Размер|80E|1|4|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80D|1|8|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80C|1|29|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|32|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|37|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|45|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|21|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70F|1|21|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70E|1|23|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|4|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|3|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|65G|1|6|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|65F|1|11|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|65E|1|7|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|65D|1|5|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Жемчуг|1|197|1|+|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg
image|Цвет|Белый|1|79|1|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12240;"Хлопковая женская ночнушка/платье Dobranocka 6012 TM";1;"select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Лазурный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/lazurnyj.jpg"
12242;"Женская хлопковая майка Eldar Catherine";1;"select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12243;"Женская блузка из мягкой вискозы с кружевом Eldar Margaret";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|L(40)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12244;"Блузка женская Eldar Pamela";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12245;"Женская кружевная сорочка на тонких бретелях Eldar Roma";1;"select|Размер|S(36)|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|1|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|5|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Темно-синий 2|1|5|0|+|0.0000|+|0|+|0.00000000|data/colors/dark_blue1.jpg"
12246;"Женские белые чулки под пояс с кружевной коронкой Gatta Venus 20";1;"select|Размер|1-2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12247;"Трусики стринги с кружевом Kinga 251 Monaco";1;select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12248;"Комплект: бюстгальтер пуш-ап и трусики стринги-шорты Kris Line Beatriz";1;"image|Цвет|Шампань|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampan.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|0|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12249;"Атласные трусики стринги-шорты Kris Line Beatriz";1;"image|Цвет|Шампань|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampan.jpg
select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
