_ID_;_MODEL_;_STATUS_;_OPTIONS_
12240;"Dobranocka 6012 TM k sale";1;"select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Лазурный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/lazurnyj.jpg"
12242;"Eldar catherine mk sale";1;"select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12243;"Eldar margaret top sale";1;"select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12244;"Eldar pamela top sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12245;"Eldar roma k sale";1;"select|Размер|S(36)|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|1|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|5|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Темно-синий 2|1|5|0|+|0.0000|+|0|+|0.00000000|data/colors/dark_blue1.jpg"
12246;"Gatta Venus 20 white sale";1;"select|Размер|1-2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12257;"Eldar BETSY k sale";1;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12258;"Eldar PAOLA top sale";1;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|S(36)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12260;"Key LPR 097 B5 slip sale";1;"select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12261;"Key LPR 535 B5 slip sale";1;"select|Размер|M(38)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12262;"Key LPR 575 B5 slip sale";1;select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12263;"Key LPR 585 B5 slip sale";1;select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12264;"Key LPR 909 B5 slip sale";1;"select|Размер|S|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12265;"Key LPC 010 slip sale";0;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12267;"Envie ARKAS brown x sale";0;select|Размер|XL/XXL|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12268;"Envie POLO ROSES p sale";0;select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12271;"Eldar ROXANA top sale";1;"select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12273;"Envie ACTION p grey sale";0;
