_ID_;_MODEL_;_STATUS_;_OPTIONS_
12277;"Corin Eva 53851 k sale";1;select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12280;"Zaffiro sale";1;"select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12281;"Ava 740 b Intimo sale";1;"image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|2|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|2|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12282;"Corin Naomi 15829 b sale";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12284;"Alles Calais b sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12286;"Alles Mama II/B soft sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12294;"Alles Mama Cubana soft sale";0;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12295;"Alles Mama Fruit m sale";0;select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12300;"Corin Florence skin 11827 m sale";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12301;"Corin Florence skin 12827 m sale";1;"select|Размер|90E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
